Source Position,Source Feature,Business-Friendly Label,Repeat Number,Baseline PR AUC,Permuted PR AUC,PR AUC Decrease
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),22,0.07039154682743512,0.07042972664444752,-3.8179817012401474e-05
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),23,0.07039154682743512,0.06918982348562769,0.0012017233418074313
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),24,0.07039154682743512,0.06866148108832831,0.0017300657391068064
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),25,0.07039154682743512,0.06721882084957519,0.003172725977859933
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),26,0.07039154682743512,0.06920366638790713,0.0011878804395279857
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),27,0.07039154682743512,0.06792324647101533,0.002468300356419789
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),28,0.07039154682743512,0.06832111051187756,0.002070436315557561
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),29,0.07039154682743512,0.0679287985014827,0.0024627483259524185
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),30,0.07039154682743512,0.06767041760179378,0.0027211292256413416
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,1,0.07039154682743512,0.06689551569248556,0.003496031134949562
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,2,0.07039154682743512,0.06772609168898908,0.0026654551384460434
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,3,0.07039154682743512,0.06634055737940381,0.004050989448031311
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,4,0.07039154682743512,0.06720282428196397,0.0031887225454711454
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,5,0.07039154682743512,0.06802768129161096,0.0023638655358241556
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,6,0.07039154682743512,0.06779503812892149,0.002596508698513633
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,7,0.07039154682743512,0.06686631426496574,0.0035252325624693798
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,8,0.07039154682743512,0.06667553976150828,0.0037160070659268407
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,9,0.07039154682743512,0.06801373798385613,0.0023778088435789935
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,10,0.07039154682743512,0.06680954026435146,0.0035820065630836617
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,11,0.07039154682743512,0.06995245233880365,0.0004390944886314696
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,12,0.07039154682743512,0.06909674851087809,0.0012947983165570304
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,13,0.07039154682743512,0.06882833086111576,0.0015632159663193645
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,14,0.07039154682743512,0.0677380204445492,0.0026535263828859207
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,15,0.07039154682743512,0.06619915933739848,0.004192387490036642
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,16,0.07039154682743512,0.06678588728197983,0.003605659545455289
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,17,0.07039154682743512,0.06869658839634514,0.0016949584310899796
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,18,0.07039154682743512,0.06852471905281544,0.0018668277746196754
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,19,0.07039154682743512,0.06590768445264628,0.004483862374788844
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,20,0.07039154682743512,0.06925849801318713,0.001133048814247986
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,21,0.07039154682743512,0.0701890241214174,0.00020252270601771316
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,22,0.07039154682743512,0.07015953945999523,0.00023200736743989037
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,23,0.07039154682743512,0.06885595368825291,0.0015355931391822092
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,24,0.07039154682743512,0.06507921237445125,0.0053123344529838745
