Bootstrap Iteration,Source Feature,Business-Friendly Label,Mean Absolute SHAP,SHAP Rank,Top Feature
19,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0009667551646757136,7,False
19,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0010934177339604052,6,False
19,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005332473551721697,8,False
19,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011469843846205103,5,False
19,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012024753789411397,4,True
19,donor_age,Donor Age,0.0026064412555157476,1,True
19,feature_gender_identity,Gender Identity,0.0020751992505275915,2,True
19,feature_preferred_address_type,Preferred Address Type,0.0016036378374693382,3,True
20,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.001083270874949942,7,False
20,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.001207412962297718,5,False
20,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.000551079009895134,8,False
20,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011816102190624197,6,False
20,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013248720361700654,4,True
20,donor_age,Donor Age,0.002780974403583239,1,True
20,feature_gender_identity,Gender Identity,0.002142775464073922,2,True
20,feature_preferred_address_type,Preferred Address Type,0.0016024484808330678,3,True
21,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011302706103338916,7,False
21,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.001265147551517536,5,False
21,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005672913285958147,8,False
21,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011939828969715514,6,False
21,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013870147888890402,4,True
21,donor_age,Donor Age,0.002740883599355671,1,True
21,feature_gender_identity,Gender Identity,0.0021170245730896342,2,True
21,feature_preferred_address_type,Preferred Address Type,0.0016131903973541876,3,True
22,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011783012917296538,7,False
22,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.001329484824826488,5,False
22,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005300689755147838,8,False
22,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.001183355181881508,6,False
22,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.001383328883098126,4,True
22,donor_age,Donor Age,0.002635828628586577,1,True
22,feature_gender_identity,Gender Identity,0.002113963082321382,2,True
22,feature_preferred_address_type,Preferred Address Type,0.0015769611984138682,3,True
23,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011124070079397527,7,False
23,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.001234668713112604,5,False
23,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005525976959022807,8,False
23,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.001156255046377886,6,False
23,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0014035882900462276,4,True
23,donor_age,Donor Age,0.0026931134164062064,1,True
23,feature_gender_identity,Gender Identity,0.002118037454083386,2,True
23,feature_preferred_address_type,Preferred Address Type,0.0015903609546882873,3,True
24,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.001175730542551088,7,False
24,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0013028495971940364,5,False
24,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.000571833723140892,8,False
24,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.001185826975638069,6,False
24,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013748151618421791,4,True
24,donor_age,Donor Age,0.0026643755071964386,1,True
24,feature_gender_identity,Gender Identity,0.0021069502542874923,2,True
24,feature_preferred_address_type,Preferred Address Type,0.0016434645741014472,3,True
25,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011620526538570505,7,False
25,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012989498410405002,5,False
25,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.000576733942174273,8,False
25,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011806739884914345,6,False
25,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.001381272847573788,4,True
25,donor_age,Donor Age,0.002692536619812525,1,True
25,feature_gender_identity,Gender Identity,0.00209873973638244,2,True
25,feature_preferred_address_type,Preferred Address Type,0.0016056374980529006,3,True
26,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011776929872415471,7,False
26,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0013019284801333774,5,False
26,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005550930700295027,8,False
26,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0012158410587999875,6,False
26,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013737467079408664,4,True
26,donor_age,Donor Age,0.0026391780604241417,1,True
26,feature_gender_identity,Gender Identity,0.0021449756248063914,2,True
26,feature_preferred_address_type,Preferred Address Type,0.0015847230635937972,3,True
27,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.001015599970414027,7,False
27,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0011277487031196014,6,False
27,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005278843421915978,8,False
27,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011943391405592255,5,False
27,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012335648231833248,4,True
27,donor_age,Donor Age,0.002867384994279243,1,True
27,feature_gender_identity,Gender Identity,0.0021525928667043234,2,True
27,feature_preferred_address_type,Preferred Address Type,0.0016164813462463741,3,True
28,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.001255851067407412,6,False
28,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0013650730602607296,5,False
28,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005531687317768549,8,False
28,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0012184873383475354,7,False
28,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.001430173962802328,4,True
28,donor_age,Donor Age,0.002714164472344365,1,True
28,feature_gender_identity,Gender Identity,0.0021205929664273255,2,True
28,feature_preferred_address_type,Preferred Address Type,0.0016715584978898369,3,True
29,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011437162129518225,7,False
29,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012894713127633382,5,False
29,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005437501085166262,8,False
29,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011809169039860552,6,False
29,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013370263058579887,4,True
29,donor_age,Donor Age,0.002649825297007841,1,True
29,feature_gender_identity,Gender Identity,0.0021181435427213547,2,True
29,feature_preferred_address_type,Preferred Address Type,0.0016122839101067037,3,True
30,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011063937961473893,7,False
30,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012445914176774237,5,False
30,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005570833741405683,8,False
30,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011996611581696216,6,False
30,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013380239512248088,4,True
30,donor_age,Donor Age,0.0026361497413267166,1,True
30,feature_gender_identity,Gender Identity,0.0021070808977095316,2,True
30,feature_preferred_address_type,Preferred Address Type,0.0016136752784954537,3,True
31,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0010278285516385369,7,False
31,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0011455169917640486,6,False
31,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005380956195122319,8,False
31,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.001162670085281054,5,False
31,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.001263123877153364,4,True
31,donor_age,Donor Age,0.0027204739483900242,1,True
31,feature_gender_identity,Gender Identity,0.0021168653342300936,2,True
31,feature_preferred_address_type,Preferred Address Type,0.0016500220392268374,3,True
32,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0009891132333954627,7,False
32,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0011141405242905554,6,False
32,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005386515218979092,8,False
32,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011908764788622834,5,False
32,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012225782385850252,4,True
32,donor_age,Donor Age,0.0025605468957741657,1,True
32,feature_gender_identity,Gender Identity,0.002109993993039276,2,True
32,feature_preferred_address_type,Preferred Address Type,0.0015806701922548578,3,True
33,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.001059389483757302,7,False
33,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.001187429831139729,5,False
33,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.000544560901576366,8,False
33,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011613736794953355,6,False
33,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012812024875747431,4,True
33,donor_age,Donor Age,0.00274869101013668,1,True
33,feature_gender_identity,Gender Identity,0.0020586715032912765,2,True
33,feature_preferred_address_type,Preferred Address Type,0.001564378802581716,3,True
